date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:11	63557/63557	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:09%20GMT	http://www.galgotiasuniversity.edu.in/home.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/home.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:11	8727/8727	---M--	200	added ('OK')	image/png	etag:%2255acd0279abdd11:0%22	http://www.galgotiasuniversity.edu.in/images/research-incubator.png	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/images/research-incubator.png	(from http://www.galgotiasuniversity.edu.in/)
13:21:13	59303/59303	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:11%20GMT	http://www.galgotiasuniversity.edu.in/galgotias-university.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/galgotias-university.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:15	62012/62012	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:12%20GMT	http://www.galgotiasuniversity.edu.in/careers.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/careers.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:16	60764/60764	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:13%20GMT	http://www.galgotiasuniversity.edu.in/contact-us.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/contact-us.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:18	61224/61224	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:16%20GMT	http://www.galgotiasuniversity.edu.in/galgotias-university-management-test.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/galgotias-university-management-test.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:19	62072/62072	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:17%20GMT	http://www.galgotiasuniversity.edu.in/galgotias-university-law-admission-test.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/galgotias-university-law-admission-test.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:20	161/161	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20May%202017%2007:51:19%20GMT	http://www.galgotiasuniversity.edu.in/index.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/index.2c.delayed	(from http://www.galgotiasuniversity.edu.in/)
13:21:22	13311/13311	---M--	200	added ('OK')	image/jpeg	etag:%22d1911a66dedd11:0%22	http://www.galgotiasuniversity.edu.in/images/logo.jpg	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/images/logo.jpg	(from http://www.galgotiasuniversity.edu.in/)
13:21:24	59264/59264	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:21%20GMT	http://www.galgotiasuniversity.edu.in/p-placement-cell.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/p-placement-cell.html	(from http://www.galgotiasuniversity.edu.in/)
